ID,질문,대답
2083,스마트팩토리디바이스제어에 대해 알려주라,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출"
850,17학번 졸업기준이 뭐노?,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점"
677,차동혁 교수님 연구실 위치 좀요,공학관 B동 316호
59,강대진 교수님 연락처 좀,031)8041-0453
72,김기현 교수님 번호,031)8041-0460
1927,종합설계기획은 뭐 배워?,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다."
1299,무슨 메카 연구실이 있나?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
106,남윤석 교수님 연구실 알려줘,공학관 B동 317호
1883,C프로그래밍2는 뭘 배우지?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
852,17학번 졸업기준이 궁금해요,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점"
511,이석원 교수님 연구실 어디오,공학관 B동 407호
2072,제어용통신은 뭘 배우지?,"전공선택
제어 시스템간의 정보/데이터 통신을 위한 통신기법 및 네트워크 기법을 배우고, 이를 이용한 제어 시스템간의 통신능력을 배양"
961,메카 학과장님이 누구게?,정명진 교수님
1780,시스템제어공학은 뭐 배워?,"전공선택
근궤적해석, 주파수응답해석, 제어시스템 설계기법 및 PID 제어기 튜닝방법 등"
477,핵교 읊조려봐,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
648,이익현 교수님 연구실 위치 좀 알려주오,공학관 B동 311호
1186,메카 학생 부회장 누구니?,안태준
1048,B동 과사 운영시간 좀요,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00"
1591,재료역학은 뭐 배워?,"전공선택
각 부재의 안정성을 판단하기 위해 구조물의 역학적 해석능력을 키우고 이를 반영한 구조물 설계개선능력을 갖추도록 하는데 있다."
30,심재홍 교수님 연락처,031)8041-0458
250,메카 학과 사무실 번호 좀,031-8041-0450
1753,제어공학에 대해 알려주소,"전공필수
동적 시스템의 특성, 모델링 및 이를 제어하는 기법에 대하여 학습한다."
433,성적장학금 필요학점 알려줘,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       21학점 이상"
240,메카 학과 행정실 위치 좀,공학관 B동 307호
185,주형길 교수님 연구실 위치 좀 알려줘,공학관 B동 312호
418,16학번 졸업요건이 뭐지?,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점"
305, 18학번 전필 과목 알려주세요,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
1664,전자회로에 대해 알려줘요,"전공필수
전자소자의 특성 및 응용회로들에 대해 학습한다. 반도체 원리 및 이를 이용한 기본 전자소자인 다이오드 및 트랜지스터의 구조와 동작원리에 대해 학습하고, 이러한 기본 전자소자들로 구성된 대표적인 집적회로인 연산증폭기에 대해 학습하여 전자회로의 분석 및 설계 능력을 배양한다."
436,필수교양 과목 알려줘,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
889,16학번 졸업요건은 뭔가?,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점"
324,19학번 전필 좀 알려줘!!!,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
312, 18학번 전공필수과목,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
1498,공업역학에 대해 알려주라,"전공필수
시스템 메커니즘 설계 및 응용에서 요구되는 힘, 모멘트의 원리를 이해하고, 안정된 시스템을 설계하기 위해 역학 기반의 자유물체도 및 평형방정식의 개념을 학습함으로 다양한 메카트로닉스 시스템에 적용할 수 있도록 기본적인 역학개념의 습득에 있다."
1290,어떤 메카 연구실이 있어?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
1424,컴퓨터응용설계1은 뭘 배우지?,"전공선택
제도이론의 숙지, 투상법, 도형의 표시, 치수기입법에 대한 학습을 통해 도면화할 수 있는 능력을 확보하고, 3차원 설계 기본개념과 SolidWorks사용법의 학습을 통해 가공하지 않고 14차원 구조물을 설계할 수 있는 능력을 갖게 한다."
2121,스마트팩토리HMI는 뭐 가르쳐?,"전공선택
인간과 인간 또는 인간과 로봇의 소통을 위해서는 시각 인식 기술이 필요하다. 본 과목에서는 로봇의 시각 요소인 광학의 기본 개념에 대해 이해하고, 카메라를 통하여 입력 영상에 대한 기본적인 처리 기술에 대해 익힌다. 또한 실제 산업현장에서 로봇이 외부 환경을 인식하고 상황을 판단하기 위한 센서에 대해 살펴보고자 한다."
1825,마이크로컴퓨터응용은 뭐 가르치나요?,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다."
1157,메카 학생회장 누구?,임현종
1743,반도체장비개론은 뭐 가르쳐?,"전공선택
DRAM, NAND Flash를 포함한 반도체 소자 제조에 필요한 에칭, 증착, 패터닝 등에 사용되는 반도체 공정 장비들의 작동 원리를 이해하고 관련 지식을 습득한다."
110,남윤석 교수님 연구실 위치 좀 알려줘,공학관 B동 317호
42,이석원 교수님 번호,031)8041-0462
1297,무슨 메카 연구실이 있습니까?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
702,허헌 교수님 연락처 좀요,031)8041-0463
1068,메카 커리어 교과 뭐있을까?,진로와 미래
308, 18학번 전공필수 과목을 알려주십시오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
534,강대진 교수님 번호 좀요,031)8041-0453
238,메카 학과 행정실 어디야,공학관 B동 307호
510,이석원 교수님 연구실 위치가 어디오,공학관 B동 407호
2039,서보전동기1은 뭐 가르치지?,"전공선택
서보 제어시스템의 주요 구동원으로 이용되는 전동기에 대한 이론과 실험을 병행하여 배운다. 이 교과의 이수로 제어시스템 설계를 전동기의 특성, 전달함수 등을 알 수 있고 전동기의 운용상의 일반적 문제점을 자율적으로 해결할 수 있다."
2113,스마트팩토리HMI는 뭘 배워?,"전공선택
인간과 인간 또는 인간과 로봇의 소통을 위해서는 시각 인식 기술이 필요하다. 본 과목에서는 로봇의 시각 요소인 광학의 기본 개념에 대해 이해하고, 카메라를 통하여 입력 영상에 대한 기본적인 처리 기술에 대해 익힌다. 또한 실제 산업현장에서 로봇이 외부 환경을 인식하고 상황을 판단하기 위한 센서에 대해 살펴보고자 한다."
683,차동혁 교수님 번호 알려주오,031)8041-0454
1044,메카 과사 번호가 궁금합니다.,031-8041-0450
1018,B동 과사 위치 알려주오,공학관 B동 307호
1929,종합설계기획은 뭐 배우노?,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다."
237,B동 학과 행정실 위치 알려줘,공학관 B동 307호
469,핵교 가르쳐줘,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
746,B동 학과 행정실 운영시간 알려주오,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00"
1507,공업역학은 뭘 배워?,"전공필수
시스템 메커니즘 설계 및 응용에서 요구되는 힘, 모멘트의 원리를 이해하고, 안정된 시스템을 설계하기 위해 역학 기반의 자유물체도 및 평형방정식의 개념을 학습함으로 다양한 메카트로닉스 시스템에 적용할 수 있도록 기본적인 역학개념의 습득에 있다."
1760,제어공학은 뭐 배우디지털회로실험는이지 알려줘,"전공필수
동적 시스템의 특성, 모델링 및 이를 제어하는 기법에 대하여 학습한다."
928,핵심교양 과목 좀 알려주시게나,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
540,김기현 교수님 연구실 위치가 어디오,공학관 B동 308호
90,김효영 교수님 연락처,031)8041-0464
993,메카 학과장님이 누구?,정명진 교수님
1491,전기회로2는 뭐 배우노?,"전공필수
가정 및 산업용의 실용적인 교류회로를 이해한다. 교류회로에서 사용되는 부하소자인 저항, 인덕턴스 및 커패시턴스의 특성을 이해하고 이를 이용한 회로구성 및 해석을 중점적으로 배운다. 또한 실험을 통하여 전반적인 전기회로 특성을 이해한다."
1060,메카트로닉스 공학기초 과목 뭐있어?,"글쓰기, 영어1.2, 글로벌잉글리쉬, 가치와비전, 창의와실천"
1192,메카 학생 부회장 좀요,안태준
1698,신호및시스템은 뭐 배우노?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
1819,마이크로컴퓨터응용은 뭘 배워?,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다."
1168,메카트로닉스 공학과 학생회장 누구에요?,임현종
1696,신호및시스템은 뭐 배워?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
828,20학번 전필 좀 알려주오!!!,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계27"
817,20학번 전공필수과목 알려주오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계16"
1212,메카 학생부회장좀,안태준
373,17학번 졸업기준이 어떻게 돼??,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점"
1673,전자회로는 뭘 배우지?,"전공필수
전자소자의 특성 및 응용회로들에 대해 학습한다. 반도체 원리 및 이를 이용한 기본 전자소자인 다이오드 및 트랜지스터의 구조와 동작원리에 대해 학습하고, 이러한 기본 전자소자들로 구성된 대표적인 집적회로인 연산증폭기에 대해 학습하여 전자회로의 분석 및 설계 능력을 배양한다."
1533,공업수학2는 뭐 배우노?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
1809,마이크로컴퓨터응용에 대해 알려줘,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다."
166,이익현 교수님 연구실 알려줘,공학관 B동 311호
1772,시스템제어공학에 대해 알려주세요,"전공선택
근궤적해석, 주파수응답해석, 제어시스템 설계기법 및 PID 제어기 튜닝방법 등"
311, 18학번 전필 좀 알려줘!!!,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
806,19학번 전공필수 알려주시오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계5"
939,핵심교양 가르쳐주라요,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
876,16학번 졸업기준은 어떻게 되나??,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점"
732,B동 학과 행정실 번호 좀요,031-8041-0450
1898,비주얼프로그래밍에 대해 알려주세요,"전공필수
C++ 를 기반으로 다양한 MFC클래스를 활용하여 윈도우 기반의 비주얼 프로그램을 작성한다. 다양한 MFC 클래스, API 및 GDI 개념을 학습하고 이를 활용하여 파일 입출력, 그래픽, 네트워크 통신이 가능한 윈도우 응용 프로그램을 작성한다."
605,이승훈 교수님 이메일 좀요,shlee50@kpu.ac.kr
1215,메카트로닉스공학과 학생부회장?,안태준
2102,스마트팩토리디바이스제어는 뭐 가르치지?,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출"
136,이양희 교수님 연구실 알려줘,공학관 B동 309호
879,16학번 졸업기준이 어떻게??,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점"
1069,메카트로닉스 공학과 커리어 교과 뭐있을까?,진로와 미래
1715,신호및시스템은 뭘 배우지?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
270,B동 학과 행정실 운영시간 좀 알려줘,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00"
1960,기계요소설계에 대해 알려주면 감사하겠습니다,"전공선택
자동화 기구 시스템을 설계할 때 고려해야 하는 각종 요소들의 설계방법과 선정방법 등을 학습하여 효율적인 기구를 설계할 수 있는 능력을 배양한다."
1430,컴퓨터응용설계1은 뭐 가르쳐요?,"전공선택
제도이론의 숙지, 투상법, 도형의 표시, 치수기입법에 대한 학습을 통해 도면화할 수 있는 능력을 확보하고, 3차원 설계 기본개념과 SolidWorks사용법의 학습을 통해 가공하지 않고 20차원 구조물을 설계할 수 있는 능력을 갖게 한다."
901,성적우수장학생 취득학점 내놔,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       11학점 이상"
1774,시스템제어공학에 대해 알려주소,"전공선택
근궤적해석, 주파수응답해석, 제어시스템 설계기법 및 PID 제어기 튜닝방법 등"
1922,종합설계기획은 뭘 배우나요?,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다."
581,남대훈 교수님 연락처 알려주오,031)8041-0457
1059,메카트로닉스 공학과 커리어 교과 뭐있어?,진로와 미래
1940,계측공학에 대해 알려주세요,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다."
452,필수교양 뭐야,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
1951,계측공학은 뭐 가르치나요?,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다."
216,허헌 교수님 연구실 좀 알려줘,공학관 B동 408호
